ResponseId,Exp,Condition,Strategy_Response,r1_highlow,r2_highlow,r1_mental_averaging,r2_mental_averaging,r1_start_end,r2_start_end,r1_variability,r2_variability,r1_number_of_points,r2_number_of_points,r1_equal_area,r2_equal_area,r1_unknown,r2_unknown,r1_other_na,r2_other_na
183,1,line,"I tried to find the midpoint between the higher and lower, where it was at the longest, etc.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
184,1,line,"high and low points, total surface area, area above the line and below the line.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
185,1,line,i tried to just go with what felt right. If most the line was in a certain area i would put it there,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
186,1,line,"first seeing the starting price then looking for the highest price and then again for lower price and based on this ,making the judgment",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
187,1,line,I just tried to make the volume of the areas above and below the line approximately equal. That was my only strategy. Think I learnt it in a maths or stats course.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
188,1,line,"I just went with what was natural and underwent some estimations in my reptile brain, I would assume. I would like to know how close I was to the average because I think it was reasonably close.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
189,1,line,"After a company goes public, and its shares start trading on a stock exchange with this knowledge i decided.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
190,1,line,I tried to adjust the line so that the area under the stock line but above the average line was about equal to the area below the stock line but above the stock line.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
191,1,line,The Spikes are followed with average length,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
192,1,line,I tried to get a visual sense of where the average would fall. I looked for a good mid point of the overall graph.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
193,1,line,I looked at the number of peaks and valleys and chose a midpoint,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
194,1,line,"I looked at the lowest mark and the highest mark and then the middle of that, but looked to see if there were upper or lower trends and adjusted accordingly to that. If there were more upper trends, I took the marker a little higher.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
195,1,line,"I tried to look at the 'line of best fit'"" in the middle where the stock had been the most but also take into consideration how long it had been at different high and low prices which would affect the average. """,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
228,1,line,Big spikes up or down. If the stock price went up more than down. Did the price have more months close the same than not.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
229,1,line,i tried to get in the middle of the highs and lows,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
230,1,line,I decided to use the jaggedness of the lines and the slope to determine what I felt was a average based on that.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
231,1,line,I adjusted them based on daily activity,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
