participantId,task,id,rsp_time,status,data.select.x,data.select.y,pixel.select.x,pixel.select.y,param.mu,param.sigma,param.lambda,param.p,param.q,data.ans.x,data.ans.y,data.left.grad,data.right.grad,pixelToMM,dist_to_screen,phy.select.x,phy.select.y,va.select.x,va.select.y,pixel.ans.x,pixel.ans.y,phy.ans.x,phy.ans.y,va.ans.x,va.ans.y,flat
67e557aa25a43e8dde6c806c,task2,6,15.44,completed,1.81,0.32720844706434093,414.335,280.7526634095853,1.82,1.04,-0.05,3.2,13.38,1.82,0.3272084682399421,0.14311242569579508,-0.18474321553334275,4.647058823529412,547.9566085733293,78.40120253164555,27.812718000468983,8.183892785556816,2.907546591722093,414.87,280.75265504522287,78.51632911392404,27.812719800395076,8.195869337780735,2.9075467798059442,0.1639278206145689
67e557aa25a43e8dde6c806c,task2,7,8.392,completed,-0.93,0.2679051515866421,267.745,304.1774651232764,-0.95,1.18,0.03,4.41,46.69,-0.95,0.267905151911792,0.05522674058476237,-0.04288106191991752,4.647058823529412,547.9566085733293,46.85651898734177,22.771937884864567,4.896458262851795,2.3807509216845117,266.675,304.1774649948422,46.62626582278481,22.771937912502313,4.8724261047566735,2.3807509245731397,0.049053901252339945
67e557aa25a43e8dde6c806c,task2,8,11.465,completed,0.17,0.5560185969337361,326.595,190.37265421117425,0.14,0.67,-0.73,3.05,9.13,0.14,0.5567425919268102,0.2717621090294656,-1.2714219414936354e-7,4.647058823529412,547.9566085733293,59.52044303797469,47.26158073936756,6.217505075561605,4.9387346282913365,324.99,190.08667618890996,59.17506329113924,47.323120313778865,6.18149686259397,4.945157406936898,0.1358811180858299
67e557aa25a43e8dde6c806c,task2,9,14.978,completed,-0.97,0.41988416939636425,265.605,244.14575308843612,-0.83,0.84,0.35,2.91,19.14,-0.83,0.4220730760254273,0.3918680468456834,-0.19071129806620218,4.647058823529412,547.9566085733293,46.396012658227846,35.69015439869096,4.848393517792089,3.73053763402481,273.095,243.2811349699562,48.00778481012659,35.876211462161315,5.016612546707492,3.7499715294596085,0.2912896724559428
67e557aa25a43e8dde6c806c,task2,10,9.087,completed,-1.45,0.31227608305714744,239.925,286.6509471924268,-1.01,1.01,0.3,4.33,38.76,-1.01,0.3161932206803446,0.3827202865358789,-0.039689047030429206,4.647058823529412,547.9566085733293,40.869936708860756,26.543467059857516,4.271488240059523,2.7749119729611884,263.465,285.1036778312639,45.93550632911391,26.876423757829286,4.8003270656654635,2.809706129838857,0.21120466678315405
67f441842da280dba751a76b,task2,1,15.177,completed,1.21,0.30581006291340124,382.235,289.2050251492065,1.6,1.02,-0.19,4.94,29.56,1.6,0.30588285272930343,0.03671183486059677,-0.2121518950405604,6.258823529411765,470.29261815181286,53.082659774436095,19.29994898931851,6.460211039946998,2.3509840999364395,403.1,289.1762731719251,56.41635338345865,19.304542820275124,6.86498329211785,2.351543531058436,0.12443186495057859
67f441842da280dba751a76b,task2,2,4.631,completed,1.77,0.468839971756468,412.195,224.8082111561952,1.78,0.85,-0.2,2.16,12.85,1.78,0.4688506905969582,0.2920704250348671,-0.3559067183854426,6.258823529411765,470.29261815181286,57.86950187969925,29.58891363105904,7.041369412953451,3.6036308155845047,412.73,224.8039772142015,57.95498120300752,29.58959010675352,7.051744034983977,3.603713149181718,0.3239885717101548
67f441842da280dba751a76b,task2,3,4.645,completed,1.7,0.2690349421219424,408.4500000000001,303.73119786183275,1.82,1.16,-0.01,4.93,14.55,1.82,0.2690351794533221,0.03923564329837439,-0.043155698242405886,6.258823529411765,470.29261815181286,57.27114661654137,16.97903793560943,6.968743831949389,2.068332626999924,414.87,303.7311041159378,58.2968984962406,16.97905291380693,7.093241363954955,2.068334451200243,0.04119567077039014
67f441842da280dba751a76b,task2,4,5.333,completed,1.04,0.5832634797376178,373.14,179.61092550364094,1.22,0.54,-0.32,4.73,48.62,1.22,0.583328504857283,0.702399041606386,-0.007564883113926567,6.258823529411765,470.29261815181286,51.62951127819549,36.810284459004734,6.283720739331904,4.482311873303868,382.77,179.5852405813732,53.16813909774436,36.81438825297609,6.470591875130487,4.482811074128446,0.3549819623601563
67f441842da280dba751a76b,task2,5,5.898,completed,-0.12,0.3194295091227414,311.08000000000004,283.82534389651715,-0.37,1.03,0.41,3.83,46.35,-0.37,0.31948203297707267,0.44442234058975283,-0.03933102281144198,6.258823529411765,470.29261815181286,41.7139097744361,20.159484527812108,5.078680396082379,2.4556553073057845,297.705,283.80459697405627,39.57692669172932,20.162799355648904,4.8188169796943114,2.4560589675316447,0.2418766817005974
67f441842da280dba751a76b,task2,6,5.033,completed,-0.12,0.6887798504642564,311.08000000000004,137.93195906661873,-0.1,0.59,0.27,2.04,29.24,-0.1,0.6894710583568985,0.22906706650019942,-0.5081949929102975,6.258823529411765,470.29261815181286,41.7139097744361,43.4695178183034,5.078680396082379,5.292128504569407,312.15,137.6589319490251,41.88486842105263,43.51314057205426,5.099467246986754,5.297431729096957,0.3686310297052484
67f441842da280dba751a76b,task2,7,4.515,completed,-0.69,0.34388861451028174,280.58500000000004,274.1639972684387,-0.7,0.96,-0.15,3.54,45.94,-0.7,0.34388862395993897,0.1228791940145226,-0.28731567025780325,6.258823529411765,470.29261815181286,36.841588345864665,21.703120737185543,4.486119790703716,2.643623477370626,280.05,274.16399353582415,36.756109022556394,21.70312133356193,4.475721754943925,2.6436235499885363,0.20509743213616294
67f441842da280dba751a76b,task2,8,4.85,completed,1.27,0.30533155881181073,385.445,289.3940342693348,1.38,1.09,-0.63,4.03,22.07,1.38,0.3053321137976342,0.01609747308913969,-0.0476821225131069,6.258823529411765,470.29261815181286,53.59553571428572,19.269750163734106,6.522494452961991,2.347306521059246,391.33,289.39381504993446,54.53580827067669,19.26978518939017,6.63667066463222,2.347310786446891,0.03188979780112329
67f441842da280dba751a76b,task2,9,4.451,completed,-0.42,0.5315407891048841,295.03000000000003,200.0413883035708,-0.44,0.69,0.14,2.49,36.94,-0.44,0.5315606669941703,0.46506528210648596,-0.4404727671537557,6.258823529411765,470.29261815181286,39.149530075187975,33.546018786083614,4.766838259148314,4.085182073201581,293.96,200.03353653730275,38.97857142857143,33.547273297611405,4.746046220157706,4.085334716252049,0.4527690246301208
67f441842da280dba751a76b,task2,10,4.086,completed,-0.81,0.3620878391547867,274.165,266.9753035338593,-1.1,0.86,0.11,4.92,45.56,-1.1,0.36215436802440326,0.33538916465701585,-0.1330599525424879,6.258823529411765,470.29261815181286,35.815836466165415,22.85169022485331,4.361338532122296,2.783475302137413,258.65,266.9490246303607,33.336936090225564,22.85588892184086,4.059741673904225,2.783986527848404,0.2342245585997519
67f9736009c0ccdd5034f448,task2,1,18.342,completed,-0.98,0.3529795948978596,265.07,270.57306001534545,-0.81,0.94,-0.21,3.53,25.18,-0.81,0.35305126624657546,0.11805193244358929,-0.36340969878809487,5.882352941176471,559.3997159040903,36.561899999999994,23.702579797391273,3.7434722368434223,2.42734241857403,274.165,270.5447498326027,38.10805,23.70739252845754,3.9016584348402086,2.427835135024742,0.2407308156158421
67f9736009c0ccdd5034f448,task2,2,13.212,completed,-0.29,0.23153849886529115,301.985,318.54229294821,-0.85,1.43,0.04,3.43,18.72,-0.85,0.23299158582482485,0.04513408937598435,-0.03482212708927853,5.882352941176471,559.3997159040903,42.83745,15.547810198804301,4.385427207206767,1.5923614906972254,272.025,317.96832359919415,37.744249999999994,15.645384988136993,3.8644394688818884,1.6023535182221802,0.03997810823263144
