participantId,trialId,trialOrder,responseId,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_5","10","location-y","0.04","9684","9684","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_5","10","slider-x","-0.6","9684","9684","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_5","10","slider-y","0.05","9684","9684","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_5","10","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":64,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_1","11","location-x","3.28","8357","8357","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_1","11","location-y","0.83","8357","8357","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_1","11","slider-x","3.39","8357","8357","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_1","11","slider-y","0.83","8357","8357","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_1","11","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":59,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_8","12","location-x","3.24","9663","9663","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_8","12","location-y","0.43","9663","9663","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_8","12","slider-x","3.28","9663","9663","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_8","12","slider-y","0.42","9663","9663","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_8","12","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":68,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_4","13","location-x","0.6","7404","7404","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_4","13","location-y","0.77","7404","7404","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_4","13","slider-x","0.62","7404","7404","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_4","13","slider-y","0.76","7404","7404","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_4","13","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":58,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_2","14","location-x","2.85","7645","7645","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_2","14","location-y","0.43","7645","7645","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_2","14","slider-x","2.87","7645","7645","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_2","14","slider-y","0.45","7645","7645","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_2","14","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":59,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_7","15","location-x","0.41","8715","8715","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_7","15","location-y","0.34","8715","8715","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_7","15","slider-x","0.42","8715","8715","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_7","15","slider-y","0.34","8715","8715","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_7","15","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":64,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_3","16","location-x","-0.04","7182","7182","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_3","16","location-y","0.41","7182","7182","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_3","16","slider-x","-0.06","7182","7182","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_3","16","slider-y","0.41","7182","7182","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_3","16","windowEvents","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":56,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_9","17","location-x","-4.69","7778","7778","","","","","Block5","false","","",""
"acd0f51a-3b40-449f-93f8-9a136a166178","block5_test_9","17","location-y","0.2","7778","7778","","","","","Block5","false","","",""
