participantId,trialId,trialOrder,responseId,condition,status,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"5ac9d112436f5500010007a5","point_task_30","42","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_11","43","","default","rejected","","","-1","","","","","point","","","","30"
"5ac9d112436f5500010007a5","point_task_11","43","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_23","44","","default","rejected","","","-1","","","","","point","","","","66"
"5ac9d112436f5500010007a5","point_task_23","44","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_43","45","","default","rejected","","","-1","","","","","point","","","","126"
"5ac9d112436f5500010007a5","point_task_43","45","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_47","46","","default","rejected","","","-1","","","","","point","","","","138"
"5ac9d112436f5500010007a5","point_task_47","46","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_10","47","","default","rejected","","","-1","","","","","point","","","","29"
"5ac9d112436f5500010007a5","point_task_10","47","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_16","48","","default","rejected","","","-1","","","","","point","","","","43"
"5ac9d112436f5500010007a5","point_task_16","48","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_46","49","","default","rejected","","","-1","","","","","point","","","","137"
"5ac9d112436f5500010007a5","point_task_46","49","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_45","50","","default","rejected","","","-1","","","","","point","","","","136"
"5ac9d112436f5500010007a5","point_task_45","50","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_34","51","","default","rejected","","","-1","","","","","point","","","","101"
"5ac9d112436f5500010007a5","point_task_34","51","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_40","52","","default","rejected","","","-1","","","","","point","","","","115"
"5ac9d112436f5500010007a5","point_task_40","52","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_9","53","","default","rejected","","","-1","","","","","point","","","","28"
"5ac9d112436f5500010007a5","point_task_9","53","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_41","54","","default","rejected","","","-1","","","","","point","","","","124"
"5ac9d112436f5500010007a5","point_task_41","54","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_5","55","","default","rejected","","","-1","","","","","point","","","","16"
"5ac9d112436f5500010007a5","point_task_5","55","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_32","56","","default","rejected","","","-1","","","","","point","","","","91"
"5ac9d112436f5500010007a5","point_task_32","56","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_28","57","","default","rejected","","","-1","","","","","point","","","","79"
"5ac9d112436f5500010007a5","point_task_28","57","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_17","58","","default","rejected","","","-1","","","","","point","","","","52"
"5ac9d112436f5500010007a5","point_task_17","58","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_19","59","","default","rejected","","","-1","","","","","point","","","","54"
"5ac9d112436f5500010007a5","point_task_19","59","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_8","60","","default","rejected","","","-1","","","","","point","","","","19"
"5ac9d112436f5500010007a5","point_task_8","60","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_24","61","","default","rejected","","","-1","","","","","point","","","","67"
"5ac9d112436f5500010007a5","point_task_24","61","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_13","62","","default","rejected","","","-1","","","","","point","","","","40"
"5ac9d112436f5500010007a5","point_task_13","62","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_14","63","","default","rejected","","","-1","","","","","point","","","","41"
"5ac9d112436f5500010007a5","point_task_14","63","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_29","64","","default","rejected","","","-1","","","","","point","","","","88"
"5ac9d112436f5500010007a5","point_task_29","64","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_36","65","","default","rejected","","","-1","","","","","point","","","","103"
"5ac9d112436f5500010007a5","point_task_36","65","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_21","66","","default","rejected","","","-1","","","","","point","","","","64"
"5ac9d112436f5500010007a5","point_task_21","66","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_6","67","","default","rejected","","","-1","","","","","point","","","","17"
"5ac9d112436f5500010007a5","point_task_6","67","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_20","68","","default","rejected","","","-1","","","","","point","","","","55"
"5ac9d112436f5500010007a5","point_task_20","68","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
